Country,Year,Exchange Rate,Inflation (%)
Kenya,1974,7.142859999,17.8099480331818
Kenya,1975,7.34319333233333,19.1201840136051
Kenya,1976,8.36714499916667,11.4490304932756
Kenya,1977,8.27656083241667,14.8209644818935
Kenya,1978,7.72938333233334,16.9317824582842
Kenya,1979,7.47530916566667,7.97935261848786
Kenya,1980,7.420187499,13.8581814562484
Kenya,1981,9.04749833258333,11.6030534351142
Kenya,1982,10.9223249994167,20.6667146662827
Kenya,1983,13.3115166659167,11.3977827368523
Kenya,1984,14.4138749994167,10.284098213138
Kenya,1985,16.4321166665,13.0065664218827
Kenya,1986,16.2257416665,2.53427598892888
Kenya,1987,16.4544916666667,8.63767318980084
Kenya,1988,17.7471,12.2649630481582
Kenya,1989,20.5724666666667,13.7893172763883
Kenya,1990,22.9147666666667,17.78181442992
Kenya,1991,27.5078666666667,20.0844955754632
Kenya,1992,32.2168333333333,27.3323644475784
Kenya,1993,58.0013333333333,45.9788813036218
Kenya,1994,56.050575,28.8143894306731
Kenya,1995,51.4298333333333,1.55432816055009
Kenya,1996,57.1148666666667,8.86408741577522
Kenya,1997,58.7318416666667,11.3618450505783
Kenya,1998,60.3667,6.72243650753928
Kenya,1999,70.3262166666667,5.74200109520484
Kenya,2000,76.1755416666667,9.98002515350979
Kenya,2001,78.563195,5.73859814341467
Kenya,2002,78.7491416666667,1.96130821739162
Kenya,2003,75.9355694444445,9.81569062979654
Kenya,2004,79.1738760642135,11.6240355442426
Kenya,2005,75.5541094514311,10.3127783574683
Kenya,2006,72.1008350178622,14.4537342081708
Kenya,2007,67.3176381242857,9.75888023027529
Kenya,2008,69.175319816226,26.2398166445063
Kenya,2009,77.352012297579,9.23412592394652
Kenya,2010,79.2331517045454,3.96138889115385
Kenya,2011,88.8107699710456,14.0224913014704
Kenya,2012,84.5296017573529,9.37777003547598
Kenya,2013,86.1228788982654,5.71749357037733
Kenya,2014,87.9221638089727,6.87815499275949
Kenya,2015,98.1784533265271,6.58215429284779
Kenya,2016,101.504369498594,6.29724953814625
Kenya,2017,103.410004519014,8.00564967709945
Kenya,2018,101.301574049018,4.6898064677633
Kenya,2019,101.99129838935,5.23963795764792
Kenya,2020,106.450780158517,5.40516207933392
Kenya,2021,109.637746592367,6.10793603659176
Kenya,2022,117.865989201682,7.65986268272224
Kenya,2023,139.846383759617,7.67139634029402
Kenya,2024,134.822483279332,4.48978854243448
